,,F1_score,F1_score,Precision,Precision,Recall,Recall,Accuracy,Accuracy
,,mean,std,mean,std,mean,std,mean,std
Tissue_Type,Machine_Learning,,,,,,,,
Adrenal_gland,Decision_Tree,0.383,0.2687,0.3859,0.2642,0.3809,0.2738,0.8466,0.1318
Adrenal_gland,Gradient_Boosting,0.5317,0.2054,0.6803,0.0835,0.4634,0.2636,0.859,0.0918
Adrenal_gland,LightGBM,0.4479,0.2948,0.46,0.2958,0.4391,0.2962,0.8761,0.1056
Adrenal_gland,Logistic_Regression,0.4928,0.2193,0.422,0.2797,0.7291,0.0502,0.755,0.0329
Adrenal_gland,Random_Forest,0.3742,0.316,0.5701,0.3431,0.3174,0.3328,0.8902,0.0962
Adrenal_gland,SVM,0.5372,0.2131,0.4669,0.2729,0.7318,0.0463,0.7948,0.0472
Adrenal_gland,Weighted_Ensemble,0.568,0.1867,0.6137,0.1545,0.5343,0.2124,0.8566,0.0872
Adrenal_gland,XGBoost,0.5289,0.2308,0.5535,0.2214,0.5083,0.2401,0.8457,0.0908
Bile-duct,Decision_Tree,0.3977,0.2472,0.4077,0.2494,0.3887,0.2453,0.8251,0.1471
Bile-duct,Gradient_Boosting,0.4489,0.2909,0.5742,0.3226,0.388,0.2752,0.8708,0.1132
Bile-duct,LightGBM,0.4773,0.3039,0.5006,0.2893,0.4736,0.3273,0.8671,0.1128
Bile-duct,Logistic_Regression,0.4172,0.3314,0.3646,0.3106,0.5776,0.3297,0.7865,0.1162
Bile-duct,Random_Forest,0.4321,0.2974,0.6121,0.3457,0.3647,0.2762,0.8726,0.1108
Bile-duct,SVM,0.4449,0.328,0.3914,0.3134,0.5713,0.3338,0.8308,0.0968
Bile-duct,Weighted_Ensemble,0.4829,0.3022,0.5468,0.3082,0.4523,0.3101,0.8744,0.108
Bile-duct,XGBoost,0.4613,0.296,0.5191,0.2952,0.4378,0.3083,0.8637,0.1196
Bladder,Decision_Tree,0.3516,0.3517,0.36,0.3564,0.3441,0.3476,0.8694,0.1332
Bladder,Gradient_Boosting,0.5204,0.3762,0.5484,0.3765,0.5033,0.384,0.8852,0.0927
Bladder,LightGBM,0.4327,0.4087,0.4221,0.3973,0.4441,0.4213,0.9068,0.0991
Bladder,Logistic_Regression,0.5039,0.3627,0.4535,0.358,0.6126,0.4102,0.8427,0.0944
Bladder,Random_Forest,0.3998,0.4055,0.4628,0.4253,0.3777,0.4127,0.9136,0.0879
Bladder,SVM,0.5196,0.3795,0.4717,0.371,0.6042,0.4071,0.8665,0.0922
Bladder,Weighted_Ensemble,0.5482,0.3827,0.5339,0.3743,0.5634,0.392,0.8895,0.087
Bladder,XGBoost,0.5563,0.386,0.5408,0.3792,0.5733,0.3943,0.8903,0.0913
Breast,Decision_Tree,0.3731,0.2297,0.3722,0.2281,0.3741,0.2314,0.7999,0.1223
Breast,Gradient_Boosting,0.4115,0.2601,0.5786,0.3249,0.3301,0.2359,0.8599,0.0883
Breast,LightGBM,0.4801,0.281,0.4126,0.2595,0.5898,0.3315,0.8182,0.1071
Breast,Logistic_Regression,0.4502,0.2675,0.3746,0.2464,0.5931,0.3326,0.7831,0.1169
Breast,Random_Forest,0.4002,0.256,0.5799,0.326,0.3165,0.2318,0.8586,0.0888
Breast,SVM,0.4792,0.2839,0.403,0.2615,0.6161,0.3463,0.8099,0.1091
Breast,Weighted_Ensemble,0.4818,0.2806,0.4557,0.2757,0.5153,0.2925,0.8422,0.0939
Breast,XGBoost,0.4722,0.276,0.4264,0.2596,0.5334,0.3024,0.8273,0.1036
Cervix,Decision_Tree,0.3321,0.3298,0.3274,0.3235,0.3374,0.3368,0.845,0.1262
Cervix,Gradient_Boosting,0.4193,0.321,0.5523,0.3278,0.3687,0.3298,0.8873,0.1017
Cervix,LightGBM,0.4228,0.3491,0.5859,0.3794,0.4252,0.3751,0.8809,0.1004
Cervix,Logistic_Regression,0.4024,0.3334,0.3511,0.3336,0.6662,0.1536,0.7557,0.0477
Cervix,Random_Forest,0.3707,0.3708,0.4767,0.4356,0.3324,0.3641,0.8911,0.1012
Cervix,SVM,0.4176,0.3266,0.3649,0.3325,0.6201,0.2278,0.8057,0.0629
Cervix,Weighted_Ensemble,0.453,0.3174,0.5187,0.2948,0.4743,0.2865,0.8655,0.0847
Cervix,XGBoost,0.4363,0.3278,0.5054,0.3029,0.4129,0.3431,0.8855,0.0972
Colon,Decision_Tree,0.453,0.1822,0.4626,0.1745,0.4448,0.1891,0.8106,0.1233
Colon,Gradient_Boosting,0.4982,0.2361,0.623,0.2634,0.4186,0.2112,0.8603,0.0953
Colon,LightGBM,0.5627,0.198,0.5042,0.18,0.6376,0.222,0.8368,0.1029
Colon,Logistic_Regression,0.4922,0.2362,0.413,0.212,0.7367,0.0518,0.7564,0.0599
Colon,Random_Forest,0.4856,0.2551,0.8035,0.1184,0.4007,0.2224,0.8621,0.0956
Colon,SVM,0.5455,0.2432,0.465,0.2259,0.7463,0.0878,0.8112,0.0722
Colon,Weighted_Ensemble,0.5804,0.1757,0.5916,0.142,0.5744,0.2004,0.8573,0.0963
Colon,XGBoost,0.5768,0.1831,0.5726,0.1395,0.5889,0.217,0.8515,0.1024
Esophagus,Decision_Tree,0.3977,0.2854,0.4032,0.2863,0.3929,0.2852,0.858,0.146
Esophagus,Gradient_Boosting,0.4937,0.2288,0.6171,0.1863,0.4352,0.2589,0.8936,0.1124
Esophagus,LightGBM,0.4925,0.2723,0.5792,0.1744,0.4714,0.2989,0.8961,0.1059
Esophagus,Logistic_Regression,0.4237,0.309,0.3739,0.3576,0.8678,0.112,0.7982,0.037
